ano;sinistros;feridos_leves;feridos_graves;feridos;mortos
2007;127671;57733;23574;81307;6742
2008;141038;60144;24495;84639;6914
2009;158646;67451;26067;93518;7341
2010;183465;75249;27970;103219;8623
2011;192322;77776;29051;106827;8675
2012;184561;76177;28291;104468;8663
2013;186745;76848;26962;103810;8426
2014;169197;74596;26236;100832;8234
2015;122158;67743;22508;90251;6867
2016;96362;65249;21423;86672;6398
2017;89567;65604;18716;84320;6248
2018;69333;58971;17724;76695;5274
2019;67557;60564;18631;79195;5338
2020;63585;54385;17133;71518;5292
2021;64566;54191;17684;71875;5398
2022;64603;54887;18169;73056;5441
2023;67723;59482;18931;78413;5621
2024;73155;64182;20343;84525;6160
